Patient Question,y_bin,y_mc,ml_emotional_reasoning,ml_overgeneralization,ml_mental_filter,ml_should_statements,ml_all_or_nothing,ml_mind_reading,ml_fortune_telling,ml_magnification,ml_personalization,ml_labeling
"My husband and I have been married for almost three years. We dated for over six years before we married. I felt like I knew him so well and we would be fine. I knew he had a temper (at times)but overall he is an amazing person. He really is very loving and kind overall. Sometimes though (more frequently recently) he gets SO angry. He curses at me and calls me names. I feel like he really hates me at those moments. He doesn’t hit me he just yells a lot and I can tell he is FURIOUS! He gets angry when things don’t go his way. His behavior is fine if all is well but if things go downhill just a little (the car breaks down, I’m late for something, or any other inconvenience) he gets angry really easily. I feel like he is a spoiled brat sometimes because he gets so mad when he doesn’t get his way.",1,6,0,0,0,0,0,1,0,0,0,0
"""It's unacceptable that my ideas were completely dismissed like that, especially considering I'm the one who's been putting in all the extra hours to get this project off the ground.""",1,4,0,0,0,1,0,0,0,0,0,0
"From a teen in the U.S.: This problem started when I started middle school. See, I was a shy, weak, puny, and small kid, and still am kind of. So because of that, I was bullied. Now, many people who get bullied kill themselves, but I was different. I wanted to kill the bullies instead.",1,10,0,0,0,0,0,0,0,0,0,1
"I am a shy person by nature, I generally dislike and don’t care to be social. But in this past year I’ve gone further than that, rather what I would call paranoid tendencies. Even so much that I’m afraid to tell people my name, how old I am, and similar information, so I often end up lying. When I say something truthful I want to punch myself.",1,8,0,0,0,0,0,0,0,1,0,0
"Please help me. I am fairly strong and I have been in therapy during hard times in my life but my doctor retired years ago I am going through a crisis of grief, isolation, friends not being there and serious anxiety and depression and I cannot wrangle it and I don’t have any money to see a regular therapist. I feel so alone and I’ve not been able to wrangle it no matter how bad it is. I don’t know what to do anymore. I feel very alone I reach out to people but they don’t seem to realize that support is one of the main cornerstones in life.",1,9,0,0,0,0,0,1,0,0,1,0
"From Canada: Hello, Last week, I thought I was smelling things that were not there – turns out there were mostly sources for the smells, though I did not smell anything like rotten fish, eggs or anything drastic. On Friday, I read on the internet that smelling things that are not there can be one of the early signs of developing Schizophrenia. From reading that, I got scared and started worrying I was developing Schizophrenia. I went to the doctor on Friday to talk about bloating and headaches, he did a neuro test, and he said that I was fine. However,  I smelled some stuff in my room, but I figured it was cause my room was being messy, but recalling back to the article, I was worried that it was Schizophrenia. I do not have the smell issues anymore.",1,2,0,1,0,0,0,0,0,0,0,0
"My therapist says i am “emotionally detached.” In the past i have been told i could have autism. My husband thinks i am a sociopath. I have little to no emotion and can’t quite understand, nor do i care, about the emotions of others. i am beyond antisocial and hate socializing or being around people. i have absolutely no interest in human interaction. I have had homicidal thoughts for most of my life and have been deemed “mentally unstable and a threat to society.” I am unable to form bonds with others, but i can with objects and animals. The death of family members has no effect on me and never really has. My question is, what could this be? is it simply emotional detachment? or could it be autism or sociopathy? how do i go about getting diagnosed and tested if need be?",1,8,0,1,0,0,0,0,0,1,0,0
"So I have too many things to say. 1.i hate living in a 1bhk with my parents (who are at home all the time, they have a tendency to fight or talk loudly with each other and are dependent on my financially) 2.Broke up with my bf only because of long distance and can’t think of marriage as we are still young in our careers 3.i lack confidence and people at work constantly wonder whether I wish to grown or not 4.im unable to freely talk to people as I feel shy communicating, I feel I’ll be judged (either for my eng grammar or petty /less aware knowledge) 5.at night in unable to sleep peacefully, wake up with a scary dream or feeling",1,1,1,0,0,0,0,0,0,0,0,0
"I’ve been attending therapy for several months now and just recently (last three times) my therapist has been coming out about 20 minutes late and often ending early. She never acknowledges it, but a 50-minute session was 20 minutes. Is this an attempt to communicate something? I do struggle with talk therapy; I began going because it’s something you’re supposed to do after a suicide attempt (6 months ago due to amalgamation of MDD, fertility/hormonal issues, eating disorder, job stress, and childhood trauma). I spend a fair amount of time staring at the carpet during appointments because I don’t know what to say. I have been in therapy before, and I did the same thing, so it’s not on her. I feel like I may not have the personality for this to be successful or I’ve made her uncomfortable, but she doesn’t want to push someone seen as vulnerable over the edge, so instead she just turns up late. Is this a thing?",1,5,0,0,0,0,1,0,0,0,0,1
"""I can already tell that this insomnia is going to lead to a disastrous day at work, and I'll probably end up messing up that important presentation.""",1,7,0,0,0,0,0,0,1,0,0,0
"I get so anxious and nervous that it’s hard for me to make friendships. And it’s hard for me to keep friendships. I can’t give presentations in school. I just want my last years of high school to be fun, I want to be able to get through the day without feeling like I’m alone or made a mistake. I want to stop being anxious and feel normal. I feel like I cut myself off from other people because of my fear of rejection and my anxiety. I want it to stop.",1,2,0,1,1,0,0,0,0,0,1,0
"I am fast reaching my breaking point as nothing seems to be going well in my life. In the span of a year and a half after finishing school, I have started and failed a business, slept on the street while working a 14 hour job, fought and overcame a heroin addiction.",1,5,0,1,0,0,1,0,0,0,0,0
"Recently, I have been imagining and having visions of people being killed. I have had multiple dreams where people have been killed, mostly stabbed, in all of which I have killed them. Murder has never appealed to me until quite recently and I find this very weird. I frequently have visions of random people being killed in some way and sometimes, if I’m stood in a large crowd and am feeling particularly anxious I see multiple people being murdered around me. It doesn’t scare me or disturb me, in fact it comforts me, strangely. My friends aren’t scared of me but I am scared of myself, especially since I sometimes have sudden urges to kill someone when they do something as small as call me a name. I often feel like I have no control over my actions and I do things without thinking. I am worried that I am going to do something bad at some point and I feel as if I have no control over what I might do. I would really appreciate some advice. Thank you.",1,8,0,0,0,0,0,0,1,1,0,0
"I have suffered from depression and anxiety since I was about 10. I recently lost a loved one and everything got so much worse. I am stuck in a constant state of anxiety, and can’t find anyone to see me anytime soon. Where can I find free or medicaid covered help fast?",1,3,0,0,1,0,0,0,0,0,0,0
"I’m a person with various failed friendships, usually i get very close to someone but the friendship only last for like a year, and i always end up thinking that i’m kinda replaceable because for the other person is easier to find new friends. In my last year of college i found a couple of friends that i’m very close with, even when we no longer see each other every day and work in different places we have a very good friendship. The problem is that i’m afraid to lose them, in my line of work there’s not much chance to meet new people and i fear i won’t be able to find new friends if i lose them. When i make a mistake, or do something that affects them, or could make the angry, i freak out, even when they tell me that it is ok i can’t stop thinking that we’ll drift apart. I know that i did nothing so bad and i would forgive them if things where the opposite, but i can’t stop thinking that i messed up, it doesn’t matter how much i want to stop, i can’t. I don’t know what to do. I don’t want to be this anxious all the time.",1,10,0,0,0,0,0,0,0,0,0,1
"From the Netherlands: I am so scared of some specific people that I cannot see or even hear theyr voices. I completely panic. I am scared of going out and see this people, Because if I see them I Always have crisis and there was one time I thought I would lose my control. I also cannot see them in pictures, cause brings me bad feelings.",1,8,0,0,0,0,0,0,0,1,0,0
"From the U.S.:  My bf and I have been together about 8 months. The last half of this was sprinkled with traumatic events because of my past traumas. I was emotionally abusive at times, reacted with anger/insults out of jealousy/insecurity. He wants to leave but I don’t want to split, I am promising him I will change because I know I have/will (I am finally in counseling) I love him endlessly although some of my actions have not shown that.",1,10,0,0,0,0,0,0,0,0,0,1
"Hi, I am 19 years old. One of my biggest problems is that i have a very difficult time being open and showing my emotions to anyone. I think it’s odd considering that I am a female, and women are supposed to be really emotional people. I’m more like a man in the sense of hiding any emotion whether it is happy, sad, angry, or excited.",1,4,0,0,0,1,0,0,0,0,0,0
"When I was really, really, young, I used to think I had the best mother in the world because she was really funny and kind, although she was quite strict on me about my studies. However, as I grew older and became more mature, I realized that how my mother acts was not normal for someone her age. Whenever she wants my sisters and I to help her with something, she would speak in an incredibly high pitched voice. She also would not ask us for help directly, instead she would say something like ‘If only someone can help me do…’ or ‘We are eating so much today. There would be a lot of dishes to clean’ Most of the time my sisters and I would get the hint and help her around. However, sometimes we would think of it as just a casual statement and my mother would start throwing a huge tantrum. Furthermore, my mother is really insensitive or ignorant about our feelings. She would always call my sister and I fat when my sister and I are actually quite petite for our age. She would also go on a very strict diet and try to compete with us. Like if my sister or I lost any weight (not really on purpose), she would try to lose double of that. My mother would always stand in front of the mirror and just stare at it for a few minutes. Whenever I have any problems that i try to tell her, she would just brush it off or make everything about her. When i told her about some friendship problem i was having, she would be like ‘I had a lot of those when i was young…’ and end of with ‘You know, you’re exactly like me’ and im not trying to be offensive or anything, but i really don’t want to be like her. Even from when i was young, she was always very violent when she was angry and she would break a lot of furniture but i thought that this was a normal adult behavior. I’ve begun reading a lot of books about narcissist but I know its not good to diagnose her using these books. (From Singapore)",1,4,0,0,0,1,0,0,0,0,0,0
"From a young teen in the U.S.: I hate my family because of my cousin. I have no space. I am forced to be with him all the time everyday. He makes fun of me, calls me names, and is constantly bullying me. My grandma (who I live with) gets me in trouble because I’m supposed to be older than that and not react. my cousin just uses that against me and when finally say something back I’m the one that gets in trouble. When I am with the only friend I am allowed hang out with, my cousin would not leave us alone until I finally snapped and yelled at him.",1,2,0,1,0,0,0,0,0,0,0,0
"I’m feel like there is something seriously wrong with my head and I just don’t know what it is? I’ve researched a lot of different mental disorders and I can relate to a lot of the symptoms of so many of them. When I was in 4th grade I was diagnosed with ADD and I’ve have had on and off depression, disordered eating habits, and anxiety since then but I was diagnosed with depression and anxiety 3 months ago. Lately I have been feeling very disconnected and can’t stop zoning out, when I’m not zoned out my vision is distorted. Everything looks like its shifting, breathing, certain things pop out a lot, and when I read text it waves and spirals into itself. Sometimes when I walk I feel the curve of the earth and everything to the side of me looks downhill. Kind of like tripping but not. I did do LSD twice about 5 months ago but I’ve only been experiencing these symptoms for 2 or 3 months so it’s not because of the acid. I question reality and get confused about the concept of time and sometimes I completely forget who I am. Also been having bad insomnia and strange sleep patterns. I’ve been impulsive and doing things that I regret later; smoking a lot more than usual, drinking all the time and trying other harder drugs like Xanax and coke(once) but thats weird for me because I’ve always thought of myself as weed only. I’ve also been hooking up with a lot more guys which is weird for me because I’ve always been kind of afraid of and have never been in a relationship and am very self conscious but I keep hooking up with guys I don’t care about. I also just really hate my personality. I try to seem unique but really I have no personality, I’ m nothing but a bunch of stolen identities. When I ask someone to hang out and they can’t I get extremely hurt by that to the point of tears and think that everyone thinks I’m annoying and that girl that I think is cool and I wish people could see me the same way as people see her knows that I’m copying her. Sometimes I’m afraid to go on the deck because I think I can’t control myself and I might jump off.",1,10,0,0,0,0,0,0,0,0,0,1
"""This is going to be a huge embarrassment for my mom and our whole family, and I'm convinced that they'll never look at us the same way again.""",1,7,0,0,0,0,0,0,1,1,0,0
"From Canada: I’ve always felt different, and I’ve hated myself for it, but that’s in the past. And even then, despite hating myself for being different, when other people didn’t understand me, I always thought that there was something wrong with them for not understanding, even more so when they bullied me for it. I have a general dislike for people because of this, and presently, I do not initiate a relationship. I do, however, have healthy relationships with other people, and I keep a close friendship with a few people.",1,10,0,0,0,0,0,0,0,0,0,1
"""After what happened, I can't see myself as anything but a financial failure.""",1,10,0,0,0,0,0,0,0,0,0,1
"""This was a total loss, everything my lawyer said just seemed to make things worse, I'm left with nothing but a massive fine and hours of community service, it's all negative.""",1,3,0,0,1,0,0,0,0,0,0,0
From a woman in the U.S.:  My husband’s daughter is 19 years old and she constantly causing drama. she lies and tells people I mistreat her tell people she hates me etc. me and my husband have been together for 6 years we have two children a 3 year old and 2 year which his daughter never asks for at all. they don’t exist to her but the moment she can talk about me she will bring up how she doesn’t see them etc,1,8,0,0,0,0,0,0,0,1,0,0
"I’ve never felt homicidal before, ever. I’ve felt suicidal, but never homicidal. THen, something happened last night.I’m not gonna say what it is, but it made my parents mad at me and lose their trust. I started to feel suicidal, but now I feel homicidal. I feel like I want to stab them or put a large amount of poison in their food. I’m not a psychopath or anything, trust me me or my parents would know if I was. I recognize that this is an unhealthy way to feel, yet I want to do it? I haven’t had a run in with mental health issues since two years ago, when I had a 6-month severe depression. Why do I feel this way?!",1,8,0,0,0,0,0,0,0,1,0,0
From a woman in Australia: My husband cheated on me emotionally with a female work colleague.  As far as I know and he promised me that it was not physical. I found out when her husband contacted my husband and told him to leave her alone.  I was devastated as I felt cheated on and I have lost trust.,1,1,1,0,0,0,0,0,0,0,0,0
"I can't shake the feeling that I'm nothing more than ""the rebellious one"" in my family's eyes now, like all they see is someone who causes trouble and never listens.",1,6,0,0,0,0,0,1,0,0,0,0
"""This whole project has been a complete disaster from day one, and now I'm facing the consequences - nothing good has come out of it.""",1,3,0,0,1,0,0,0,0,1,0,0
"From a teen in the U.S.: I’m typically a loud, obnoxious, passionate, argumentative person. I blow up when I’m angry. I blow up when I’m excited. I like to share my voice. People see me as a potential leader. If anything, I think I should be kept away from a leadership role. I hate being considered a potential leader due to my traits. I hate them with a burning passion.",1,10,1,0,0,0,0,0,0,0,0,1
I'm a bad daughter for not being able to prevent this from happening to her.,1,10,0,0,0,0,0,0,0,0,0,1
"Hi. My daughter is over 18 and she is dating a guy who is also over 18, is missing one eye, has no education, no job, and no money. he makes her pay for his lunch, dinner, etc. they spend a lot of time together. he seems abusive and does not let her hang out with any other friends. he intends to marry her but he has made it clear that he is not going to cover living expenses. My daughter has a degree and a full time job. I have told my daughter that she would be miserable in this marriage but she doesn’t listen. she just fights with me. what should I do? I love my daughter and I don’t want to see her miserable. Everyone says they are adults and I should let them make their own decisions and mistakes. I am looking for another answer. If you can offer any help, I would appreciate it.",1,10,0,0,0,0,0,0,0,0,0,1
"""Ideally, I would've noticed those subtle changes in Mom's breathing pattern earlier and gotten her to the hospital sooner.""",1,4,0,0,0,1,0,0,1,0,0,0
"""This is going to haunt me for years to come, I'll never be able to show my face around here again.""",1,7,0,0,0,0,0,0,1,0,0,0
"I love with my dad and his long term girlfriend who is practically a mother to me than my own one is. I have always felt like the relationship between me and my parents has gotten slowly worse with age and I feel like there’s this power struggle going on with my dad mainly. I don’t know if I am to blame, if there’s things I can do to improve on the relationship other than sit and just avoid any contact with him, which hasn’t worked or just bend to every rule he makes. He has this very aggressive, controlling nature, using respect as a weapon against any lack of discipline towards him. I respect his house and his rules to a degree, but he makes a lot up as he goes and uses respect, or what he calls lack of respect, for him as a way to manipulate any situation to make me feel like I’m the one in the wrong. I have grown up with the notion of respect being a two way street but also to respect your parents, however I have never respected my birth mother due to her complete lack of human empathy towards anyone other than herself. However I have always respected him, to an extent feared him and it’s been that way for years however I can no longer deal with the sheer stress of living with this and he refuses to acknowledge when he is wrong and believes I am so arrogant and stuck up when I believe I am right when standing up for myself against him. I don’t know what I can do to improve the situation. He’s a good man, he’s always looked after me and taken care of me as any parent should however he has such an aggressive, controlling attitude to everything in his life that it’s just getting to a very toxic point in our lives. However I am the one being blamed for it and not him as well, which makes me depressed and think that maybe there is something wrong with me that I just don’t realise so I really don’t know what to do in this scenario.",1,6,0,0,0,0,0,1,0,0,1,0
"From the U.S.: I’m 17, and throughout my years on this earth I’ve never really had anyone stay around for long, and if they did I’d eventually regret that they did. My parents weren’t really much of parents, my brother had abused me for years, and I rarely see any of my other relatives. I’ve only been able to say the words I love you once in my life and mean them. I haven’t hugged anyone in years, I can’t remember when I last did anyways. In short, I feel unlovable, I feel as if this world doesn’t want me and subsequently has decided to leave me behind.",1,10,0,1,0,0,0,0,0,0,0,1
"For most of my life I’ve convinced my friends that I have specific mental disorders (I think I’m getting one now, too). I’ve recently tried to convince my brain to feel no remorse so I could say I was a sociopath, I used to hate myself so I could be depressed, now I think it’s getting to the point to where I’m basically turning into a psychopath because I want a mental disorder so bad; killing things, breaking some laws, manipulating, even becoming narcissistic. I feel like I need a mental disorder, it’s like I’ll die without one, I don’t even know why, and I won’t admit that it’s for attention because I’m younger and that’s what younger people do. Can someone please tell me what this is and if it classifies as Munchausen Syndrome?",1,8,0,0,0,0,0,0,0,1,0,0
"Hi. Last year, I became totally paranoid about my mother, if she’s cheating on my dad. That all started with a intimate happy new year wish text of a friend of my dad. I was suffering from paranoid for 3 months though I didn’t have any, any clues expect them texting and my mother deleting his texts. (which just happened 3 times) Then I talked to my mother and found out how silly I were. I was so ashamed of my paranoia. It ended there but a few days ago me and my mom were on a trip and she bought a box of a not special cookie. She didn’t mention for who she bought that and when I told here these cookies are not delicious, she told me they’re fine to bring to work for colleagues. (I also remember earlier she has told me that she has to buy these, and I’m not sure if she mentioned that sb asked her to buy them for him/her or not) When packing, she also kept the store’s bag. and that was when I remembered she didn’t want her colleagues to know she was on a trip. The paranoia started. It couldn’t be for the colleagues. All of the terrible feelings from last year came rushing to my head. Does she have a secret friend? She didn’t buy anything worthy (but she did buy some expensive gifts for my father) but the idea of my mom buying a gift for a man had made me desperate since we’re back. I also suffer from anxiety and in the last year and 2 years ago I’ve became really paranoid, about being pregnant without penetration, about my boyfriend cheating and about my mom cheating, and all were false. I don’t know what to do. I don’t know if I’m right about being paranoid and should do something about my mom, or I’m sick. Please help me.",1,7,0,0,0,0,0,0,1,0,0,1
"I have very low self-esteem. Every therapist I have seen in my life has made a point of telling me I am homely and unattractive, whether I brought up the subject of my looks or not. In a group they were intent on assuring another patient how pretty she was, but at the same time putting me down. We both had short hair and no makeup. Other therapists have put me down as unfixable unattractive, even when I had long hair, makeup, and a basically fit body. Male and female therapists alike expressed this opinion, even when they liked me as a person and enjoyed working with me. I know I’m not a supermodel, but I think I’m pretty enough for people in general. Why would providers tear down a vulnerable patient like this? (From of USA)",1,2,0,1,0,0,0,0,0,0,0,0
"Basically, I was extremely happy with my boyfriend for months and then we went on a holiday. On this holiday, I met his cousin and my boyfriend and I supported him at the time as he was going through friend issues. Consequently, my boyfriend became closer with him and so did I – to the point where we started introducing him to our friends that my boyfriend and I mutually share and are very close to. A few months later and the cousin has really been disrespectful towards me – he has been rude etc. Or thinking he can talk to me or treat me a certain way. To the point where it has caused me mass anxiety. Now, my boyfriend feels in the middle and I just want things to go back to the way they were before the holiday where he wasn’t involved so much in my life (I see him every weekend through the friends I’m close to). My boyfriend does not have it in his nature to cause conflict and therefore leaves the conflict and has not stood up for me. I have reached a point where I feel as if I cannot be with him unless he supports me and stands up for me. For example today he was at a braai and it was obvious I was clearly uncomfortable about him and I’ve made my boyfriend aware of this – yet he would laugh with him and make jokes with him while I didn’t want to talk to him. This is my boyfriends first relationship. Also, he is very emotionally manipulated – he gets scared of this cousin if he makes plans that the cousin isn’t invited to (like will he freak out scared) . I just want him out of my friend group and to see him as little as possible like a family member and not a close friend. I want to hope that maybe , he will even cut ties as much as he could with this person after seeing how badly he has treated me. I just want my number one person to understand that family shouldn’t be this involved in your friend group etc. And I want to feel like he’s in my corner. I don’t know what to do or say – is there any advice you could give me ? We are both 19.",1,1,1,0,0,0,0,0,0,0,0,0
"I began feeling depressed in 2005. But the worst thing in my life was getting panic attacks. Wherever I had one I stopped going there. Went to see the psychiatrist and gave me anti-depressant and Xanax which helped. But I became so scared of having panic attacks I have shut myself in my home and can’t go anywhere. Is this still due to depression, panic attacks or something else. Thanks.",1,7,0,0,0,0,0,0,1,0,0,0
"i am 22 and the type of guy i am is quite complicated and dark… i live for my love and surround myself with only her existance, one could say i am obbsessed with her… i moved to a new city for her and began a new life… no family or friends. my problem is that the last few days have been heavy, on me and her. its difficult to say why or how but i feel ugly… not like how i used to feel… she made me feel so special. now she doesnt talk to me that much and finds the time to talk to who she claims is only a friend… my problem is she tells me she would love me forever and be with me forever… even when times are hard. what can i do to make her miss me and want to talk to me again.i am going to buy her a rose today and go over there tonight… god i am so stressed to the point of suicide. how can one person just move on without you… where does that leave me… alone. i just moved away from everything i know",1,8,0,0,0,0,0,0,0,1,0,0
"I think I’m going insane. My nightmares, my dreams, they’re so vivid, and they’re never natural, i dont feel like one person i swear I’m not alone, and they talk to me through my dreams, nobody understands me when i talk about them, i do rituals where i self harm and put the blood all over myself. I sit in the dark and twitch and i dont hear voices but I FEEL them, I FEEL them inside me, i feel different from everyone else, I dont know what is wrong with me. I swear I’m going crazy. I hurt myself and then after I realize what I’ve done and i cry. I cry during i do it and whisper to myself. My dreams are so impacting they determine my mental state throughout my day. They are so real like, I feel panicked throughout the day. This isnt like the nightmare disorders I’ve read about. I love them even though they’re so detrimental to me. I cant let go of my past. Please help, I dont know whats wrong with me.",1,1,1,0,0,0,0,0,0,1,0,0
I started hating my parents last summer. It all started when I went to the beach w/ my friend. I had permission from my dad that i could go. I left early in the morning like 7ish and came back 9. He was so mad when i came back because it was “too late” and my mom didnt know about it. The thing is ever since i was in the 5/6th grade they stopped talking!! (they live in the same house but do not talk at alll!!! they dont sleep in the same room or anything!!!.) its soo stupid and pointless. They use my brothers and siters (there are 5 of us) to send messages to each other. That summer me and my dad always butted heads. I was mad at him for thinking he was right all the time and for getting his way. I was also mad at my mom. she doesnt do anything or back me up. she just stays there and watches. and when i tell her im afraid of him cuz he does get viloent she tells me to leave her alone and shut up. I think my mom is soo stupid because they dont even have a good realtionship and at least i talk to her but shes alwasy on his side.,1,1,1,0,0,0,0,1,0,0,0,1
"My mom and dad recently got divorced. I have one sister who is 19 and lives 2 hours away at college and they told us together in January when we were visiting her that they were getting a divorce. I am fine with that my sister didn’t speak to our family for a month or two and this march I thought my mom was up to something and I told my dad my suspicions and he tried to dismiss them but I couldn’t let it go so I dug around a bit. I suspected she had cheated on my dad and was still with this guy. I drove by my mom’s house one night and saw a random car there around midnight, and it was still there at 5 AM the next morning. I noticed this about 6 other times. I hid a voice recorder in my mom’s house and played it back and I heard things no child should hear. His name is Rick and he is getting divorced too and he and my mom are in a relationship. That and a few unmentionable things are what I learned from the recording. I told my dad and he said he found out earlier in the year from a PI he hired and when they signed the divorce document my mom told him everything. He told me what he knew and my mom has been seeing this guy for 10 years and she isn’t planning on telling my sister or I, nor does anyone on my mom’s side of the family know… they never will. SO basically, my mom doesn’t know I know and my dad only disses my mom with me and I don’t show anyone how bad it hurts me. I can’t tell my sister because she would literally leave my family and it’s not my place to tell her, but secretly I wish she had gone through it too so someone could feel the pain I feel and so I could have someone to talk to, I know that’s awful. My dad can’t see it hurts because I have to be there for him. This divorce broke him and he has become my bff through it and I can’t be weak I have to be strong for him. I can’t stand my mom now that I know the truth. She lies about EVERYTHING and its so easy to see the truth. I think my sister has the “ignorance is bliss mindset” but I get in moods where I flip out and cry because of this and have Panic attacks. Please Help. There is still alot more I feel but only so many words are allowed. I have all ot these bottled up feelings and I have to be strong around everyone and im tired or being strong. I’m just so tired.. life is so tiring I cry at the slightest thing and this is affecting all of my relationships and im constantly sad and mad but I try so hard to never show it. (From the USA)",1,4,0,1,0,1,0,1,0,0,0,0
"My boyfriend and I have no contact for five weeks. We were both hospitalize for depression, anxiety, self-harm and suicide attempts. We became each others motivation to live. But now end-year exams starts and all communications are gone. Not even one text on weekends. It’s the first week out of five and I already got suicidal today and self-harmed for the first time in months. I started smoking again and I’m permanently with a cigarette in my hand. I honestly don’t know how I’m going to survive this, and the fact that he’s suicidal as well just means he’s probably going through the same thing. What if he doesn’t make it? I’m seeing a psychiatrist once a week, but I skip it these days to study plus I don’t really like talking about myself having a low self-esteem.. but I’m just scared now. Scared of myself. I can’t focus on the exams while I feel like this. Every second is torture. what hope can possibly be left? (From South Africa)",1,5,0,0,0,0,1,0,0,0,0,0
"From the U.S.: My husband and I used to both be friends with some neighbors. One of them has a TBI. For a year, she was calm around us, although we knew that she screamed and berated her husband each day. Then, she turned the same volatile screaming on me one day because she didn’t like that I was doing my MBA homework. I have never returned.",1,5,0,0,0,0,1,0,0,0,0,0
"I’m part of a FB group that supports women born with a congenital disease that prevents conception. I’ve noticed that a lot of women in the group, though their intentions are good, are very negative and discouraging. Everyone talks so much about trying to be strong but they seem to do nothing to actually feel good about themselves. They just wallow in self-pity like the world owes them. And there seems to be a lot of people who seem to think it’s perfectly ok to blackball other women in their life because they fall pregnant.",1,6,0,0,0,0,0,1,0,0,0,0
"Although im sure I know the answer to this, I need to get it out..I am 44, she is 43..After 3 years of dating my girlfriend ,she tells me she has herpes only because she had a breakout…she has told me the following over the years..that she was raped in college ( the story sounds ridiculous), in her early 20’s apparently ate a bunch of pills and claims the people at the psych ward tried to trick her into signing commitment papers, ended up in Florida in a BDSM relationship…came back to NY where she held 2 or 3 jobs, sleeping with someone from the office…married then divorced ( she claims her ex husband stole all of her money)…was dating another guy who apparently beat her…..at her current job, she slept wih a guy 14 years younger than her, got pregnant and the “donor’ went back to his country, not supporting the child etc….I met her at her current job and have been on and off with her for the past 3 years ( I know im an idiot)…..since she told me about her having herpes, I have been to the doc 2 times, 2 blood tests…im negative….but now all of a sudden she claims I am abusive and threatening her, I was mad as hell, and if she were a man I probably would have knocked her on her ass,but never a threat…..im sure she has a disorder of some sort….she lies constantly, tells the same story 3 times during a week, but its always changing….I am now afraid of this woman because last week, while trying to calm her, I took the blame for everything…admitted I was wrong etc, and have cut her off…..im sure she has another man in the picture, coaching her along on how to set me up( I hope so, let him deal with her)….She may be lying about the Herpes, cause she doesnt know much about it when I ask her…it turns out her brother is a doctor in Baltimore and I get hte feeling he ‘monitors her’,her mom lives in the same building a few floors up from her. when out locally, she is always looking around, like she is afraid someone may recognise her..very bizarre….she seems to me to be a professional victim…1 night in bed, we were staring into each others eyes, and I swear they CHANGED into pure evil for a second, then she smacked me……..nothing is her fault, things get twisted to the extent im apoligising to HER about her exposing me to herpes……I am trying to protect myself because I am afraid of her setting me up…How can I deal with a person like this…I have cut off all contact as of a few days ago, and she knows about my herpes test today.",1,1,1,0,0,0,0,0,0,0,0,0
"Approximately 6 years ago, I started to believe in God. I am very studious, so please don’t consider me an average believer. Anyhow God bestowed upon me success in the form of health, reputation and education. I disobeyed Him and He took it all back, also He made my life very fragile in numerous ways. One of the worst punishment He gave me was that He stopped my growth. Now before you think “It’s all in the genes” well it’s not, my parents have an average height and according to my doctor I should have been average too but sadly I stopped growing without any explanation. Now to my real problem, I have a self esteem issue in which when walking  on the streets I feel tiny (especially in front of women). This is deemed normal for people like me. Mentally speaking, I feel worthless and feel extraordinarily detached from this world (I see the world from space!). My social skills are deteriorating day by day. I used to be an excellent man once but now I am nothing!",1,10,0,0,0,0,1,0,0,0,0,1
"hello im 14 but i don’t want to say my name. i have a bad problem controling my impulses, and im quite reckless, not in a way of hurting myself but, doing things without thinking about the consequences. when im at school i dont fit in at all, but i always try, i try to mimic things that other people do. but i just cant fit in. i get angry, very fast, it doesn’t take that much for me to want to kill someone. i cant controll anything about me, i have alot of anxiety, too much, i can over react. someone scammed me two days ago and i have been contemplating killing him, beating him with a bat, or hiring someone to do something to him, but its very irrational. it just makes be soo mad. when im mad i forget about everything and cant think. i have thought about killing myself because im tired of living that way. ill be on the verge of doing something that i could go to jail forever for, then at the last minute i start to remember what the consequences will be. i like somone one day, the next day i hate them. i dont know who i am, i dont have any goals, at night i get very paranoid, of ghosts and irrational thoughts. and hallucinate at night alot. at some points i will be happy for a few days, because i think im in a movie. i remember periods of time in my life, as what was going on in my mind.",1,8,0,0,1,0,0,0,0,1,0,0
"Recently, I have been having some problems. I’ve been seeing things and hearing things that my people around me can’t, I have a hard time remembering moments and even little things like & what I ate for breakfast this morning or what grade I got on my math test and I’ve noticed that I just can’t bring myself to do everyday tasks. I’ve been having a lot of thoughts that come from a voice that doesn’t sound like me. This, as you can imagine, has given me some concerns for my mental-well-being. My biggest problem, however, is that I don’t know how to talk to my parents about my concerns. I feel as though my dad would just laugh at me, and say you are a moron which is what he usually does when I ask him for help on other things. I just don’t know who to talk to, or how to see a professional if I can’t even ask my dad.",1,7,0,0,0,0,0,0,1,0,0,0
"""Last night's dinner was just another disaster - all we did was yell at each other, and now she's not even talking to me. Nothing good ever comes from our conversations anyway.""",1,2,0,1,0,0,0,0,0,0,0,0
