text,binary_label,distortion_type
"I have been with my girlfriend for about six months now. She tell me that I am what she has been looking for in a relationship. I believed her, I do not hide anything in our relationship. I know how it feels, I even cut off other relationships that I know will be an issue with our growing progress. But she has not and still communicate with them in ways that hurt me to read the txt. She says she has known them for years and have helped her when she was troubled, but to invite sex and communicate it in ways that I should be involved only. it depresses me.",Distorted,Fortune Telling
"I’m at a loss for what to do as its ruining my life. For about 2 years now I have been totally head over heels over one of my brothers friends. Nearly every one I know tells me that we make a good couple, even his own mother! I have been trying so hard to impress and make him notice me and I push myself to great extents to make him happy and I have based life decisions on what I thought he would think of me. Unfortunately, he has just treated me like I don’t exist. He has never even trated me like a friend or an equal. He ignores me and acts like im nothing in his eyes. But then again he also acts like there is a great chance of us being together and he makes out that he likes me back and I get really confused. I have BPD so I think that’s contributing to my heart ache. My legs are covered in scars thanks to him, yet I always want to be around him. Sometimes I feel such hatred for him that I could quite happily wring his neck but the next minute I’m drowning in despair over why he won’t love me like I do him. I put so much effort in for no return and it’s killing me. I don’t know why I can’t just forget about him. My thoughts are always riddled with what is wrong with me? I question self worth and I loath my self because I’m not good enough. I don’t know what to do anymore, this whole thing is ruining me.",Non-Distorted,No Distortion
"From the U.S.: My PTSD has been difficult to treat and I have often wondered if it is a matter of “belief”;. I understand that trust may be an issue there, but I do trust my therapist and very much respect him, I just think EMDR is bullshit. We’ve tried it 7 times now and I’ve read several books/articles and it just strikes me as Confession for secular people, complete with ritual and sanctification. (I’m sorry, I’m a scientist, if it works by simulating REM, then why don’t we just compare fMRI scans of EMDR and REM? You could even scan the same client!) I want it to work, I’ve tried coaching myself to let it happen, let the process do its thing but it just hasn’t been the “miracle” you read about for me, which is crushing.",Distorted,Mental Filter
"From the U.S.: I’ll start from the beginning. I was an only child, adopted by an older couple, my parents were very strict, old fashioned and very hard on me, but I never felt abused. I had a lot of friends but no one close so I develop a custom. Whenever I was very sad or very angry I would lock myself in the bathroom and talk with myself in the mirror. The guy in the mirror would be calm and understanding and give me good advice. It was a good way for dealing with problems and by the time I finished college I stop doing it.",Non-Distorted,No Distortion
"I’ve noticed this recently and it’s happened to me in the past. I feel like it’s side affects from the pills I’m currently taking. I have bipolar disease my therapist prescribed me Lamotrigine. My dosage was recently increased, not by too much, but I had been forgetting to take them and was having problems again so I saw her and got my new prescription.",Distorted,All-or-Nothing
"For a while now I’ve had this problem where if something doesn’t feel exactly right I have to fix it until it does feel right and it’s hard to focus on anything else if I leave it. This can happen with anything. The way an object is positioned, which fingers I use to type something, how I say something, etc. This will usually make me look really weird if somebody notices. If something takes too long to fix, I will become frustrated and completely give up. This is making things hard during class, because if I can’t seem to write a word the right way or if I have to keep writing and erasing the same word I will get frustrated and want to push the paper away. It’s been getting really bad, and is making my grades go way down. My parents don’t really know what to do with me. Along with my problem, I have been feeling depressed for 8 months. All summer I was inside on the computer and barely went outside. Towards the end of summer I started running out of things to do online, but still didn’t want to go outside. So I stayed inside all day listening to music. I started thinking really pessimistic thoughts on life, getting myself down all the time. School started and it just kept getting worse, because of my grades and me losing friends. My problem is just making it worse. Are there any ways of controlling my problem? Is there a name to my problem? I just don’t know what to do. Sorry if this is confusing to read. (age 13, from US)",Distorted,Labeling
"I think I have mental problems but not sure I’m not sure where to start. Since ever I was a kid I always felt that my mother favored my other two sisters and I believe that those feelings caused me to gain weight which caused me so many problems in my life. I always feeling insecure and I’m not confident. I felt like my mother was always making fun of me for being fat and so did everyone I knew. My father never played a big role in my life as a child he didn’t live with us but I knew that my parents had problems and they fought all the time. When I was 14 we moved to the United States and everything got worse for me. I continued to feel insecure and gained a lot of weight. My parents fought all the time. Throughout high school I was depressed. I found it hard to make friends. I still don’t have any friends. I saw a therapist a couple of times prescribed antidepressants but I didn’t take them. My relationship with my family was terrible they all hated me. I never liked anything that my mother said and I get extremely angry and yell and throw anything that falls between my hands. I have had thoughts of suicide but I never actually tried to kill myself. I blame my mother for my current mental state. Outside of my house I’m a very nice person, probably the nicest person you could ever meet but inside the house I can’t even recognize myself. During the summer I always go to my home country and I feel great but as soon as I come back here I’m depressed and everything is annoying. My father passed away last year and we had a fight right before he died and I feel guilty that I didn’t get a chance to say sorry. I cope with my problems with eating. I feel alone, no friends and especially no family to turn to. Help me please.",Distorted,Overgeneralization
"From a middle schooler in the U.S.: There are some reasons why I think I might be possibly a sociopath. One is, I know I lack a lot of empathy. A lot of people that know me tell me this. An example is, one time I made my friend upset (she was crying a lot) and I didn’t care at all. I knew how she was feeling but I didn’t really care. I didn’t feel any remorse.",Distorted,Emotional Reasoning
I have currently been dating my boyfriend for a little less than a year. My boyfriend has several issues he is trying to work through and I want to know what can I or we do to help him overcome these issues. 1. I have had more sexual encounters and more relationships than he has. He feels that I am more mature in these areas and feels that he may regret not having more experiences in life. 2.I have a tattoo I got when I was sixteen it just has a flower and a letter but he feels I did it for another guy in my past when in reality it was for a family member. 3. He feels that whenever there is another male in a group setting that I am seeking their acceptance/approval.,Non-Distorted,No Distortion
"My spouse and I have been living apart since day 1, living in different states. He battles issues of addiction, but seems to be fine with kicking the drug piece. Alcohol is still heavily involved. He moved away in with his sister 1,000 miles away to escape the problems faced here and restart his life. He eventually married me after 3 years of dating. He hasnt started a new career, couldnt get into the military, so I want him home. He is worried that moving back will bring back bad habbits, when I feel it was just escapism and more a bandaid verus getting to the issues as drinking is still an issue. He feels most comfortable with his sister, my job is stationary my career being 10 years strong with the federal government, I dont see the need to move when he only works in a bar (of all places) but doesnt fully support himself. I feel his mind races and he has coping issues and learning how to move stuff in the past. He had issues with his parents, being mixed race. Now I want him home, I know we have things to work on, but he is more terrified of facing the area where the issues with drugs were. He is up and down, agreed to move back but still having issues with facing the area and the people. His alcohol consumption is terrible, through the roof at least 5 drinks per day and sometimes can finish a gallon in as little as 2 days. I don’t know what to do, how to start dealing with this, I know he has to make the choice, but I don’t know what I can say. I am accused of not understanding, I ask why he flew back to marry me. But I can’t seem to separate him from his sister (who is in the military). There are a few issues yes, but I feel I can’t do much when my sleep is interrupted and I am 1,000 miles away. I’m dealing with his addiction, childish fear and not wanting to leave his old go to person and start our lives, I’m ready to throw in the towel but don’t want to leave.",Distorted,Labeling
"From Germany: I hope you can assist me with my problem. Two years ago I’ve married my wife, and already before the wedding my parents have tried to destroy this relationship. My sister, whom my wife loved, has joined my parents too.",Non-Distorted,No Distortion
I have gone through the symptoms of Paranoid Personality disorder and my wife seems to be suffering from the same since last 13 years. she is 39 years old and is a house wife now. earlier she was working as a teacher. she is a mother of 3 kids. My questions is that how should family members behave with a patient of paranoid personality disorder and how can we save our children from being a victim of the same disease. what are the chances of getting them affected. My wife doesn’t trust anyone in my family and fights with everyone. she says that she is not suffering from any disease and thinks that i want to divorce her on this ground.,Non-Distorted,No Distortion
"I think I am going insane.. I have Two people in my mind.. Person A , she is from Ohio and has blue hair she is a maniac who tells me different ways to kill and different strategies of not getting caught… next is Person B, she is a Murderer/Pshyco who tells me when to strike and when I should strike and when I should kill and how I should s above B- but the maniac in me wants to take over I know if I do that I wont go to college. I don’t care anymore if I go to college yay if I don’t oh wells I will do what I love killing.. my parent does know of my change in behavior but doesn’t know of my thoughts no one knows, sorry if I waist your time.. I just want to know if I am insane. Do you have a diagnosis? I cannot tell my parent Because if I do Scarlet would take over.. another reason for not telling is my older brother has autism he is their main priority I like it that way not the other way around…",Non-Distorted,No Distortion
"I haven’t had any friends for years and I truly don’t know why. I bought a new phone last week and the cashier who switched my phone was amazed that in the whole month I’d only used 40 phone minutes. (I guess that’s one plus of having no friends — saving minutes :-) I do get along with my coworkers and I belong to several groups, including a church group, a choir, a singles group, and the PTA. I’m the leader of one other group.",Non-Distorted,No Distortion
I am having daydreams where I am being physically punished. They are stories in my head where I am always the victim. They usually involve an authority figure beating me and forcing sex on me. These daydreams have become obsessive that I have lost interest in my hobbies. It is disturbing to me that I enjoy them and I want them to happen to me in real life. It is difficult to focus at work and driving with this story script running in my head. I am 45 and have Had Schizoaffective disorder since my 20s. These daydreams are always a precursor that I am getting sick. I get the daydreams and 1 or 2 weeks later I hear voices. This time I lasted 2 weeKs before the voices started. I take my medicine as prescribed. I am udergoing increased stress with a bankruptcy. My question is why do I get these daydreams and how can I stop them before I get extremely sick and need hospitalization? Thank you for your time in answering my question.,Distorted,Overgeneralization
"I don’t know where to even to begin to tell you my problem. The last 3, maybe 4 months has been a living hell for me. I fell in love for the first time to a girl named Samantha. Before my falling in love, she became my first girlfriend on Nov 22. Nov 23 I had my first kiss. This is not my reason for falling in love with her. she was and still is the only girl that has ever basically talked nice to me and has shown interest in me. i was the happiest guy in the world it seemed.",Distorted,Mental Filter
"From a teen in Jordan: My parents are humanitarian workers, so we travel to developing countries around the world. We moved to Jordan last week, and because the English speaking schools are too expensive, my parents put me in a French high school. In my old school, I was a hard working straight A student, and I took my grades very seriously. However, being in this school completely destroyed me. Being a non-fluent French speaker, I couldn’t understand any of the classes and would always get a 50% grade.",Non-Distorted,No Distortion
"From the U.S.: Well, let me start off. I am a teen who loves my family, however I get very annoyed and angry in my mind at unintelligent, annoying, attention craving people. Whether I have problems with them or not, they annoy me.",Non-Distorted,No Distortion
After puberty I went from being a outgoing and happy child to very moody and anti-social especially once I got closer to young adulthood.,Non-Distorted,No Distortion
From the U.S.: I studied psychology myself and I know more than anyone that we tend to get into patterns of behaviors that cause conflict with others without even realizing it. What I would like to know is if I sound like I am in a bad pattern and how to overcome it?,Non-Distorted,No Distortion
"This was my second visit to my doctor and first visit was good because i told everything that i needed to told her.But now when she listened me she behave differently,i was talking about my husband and she asked horrible question about my sister in law releationship with him. I didn’t react i only talked about my husband.she also unnecessarly doubt about my parents and asked me nonsense crazy question,because of it i hate her.And i felt guilty and sorry towards my relatives.She emotionally abused me.She asked in very shameful manner about my respected family member although i didn’t say anything at that time,i went on innocent way to explain about my mother depression,but when i returned home i felt very sad and angry to the way she treated my innocent reletives.Iam suffering from anxiety disorder and she increases my anxiety to the worst level, iam having migraine and couldn’t sure that i will continue my tharapy with her,her way of treat was changing and her facial expression was not so satisfying.She was not able to addresses my real problem.Iam in confusion and this time is the worst than before ,please i need help,what should i do?I like my psychologist but doesn’t like the way she asked about my family members,she asked about the unreal things which is false by its nature .Iam loosing my peace of mind please help.",Non-Distorted,No Distortion
"I am eighteen years old and have yet to see a psychologist, although I’ve been dealing with depression for 5 years now. It has gotten worse over the years, but at the beginning of my sophomore year of high school I had developed a strong fear of going to school, for reasons I don’t even know myself. I had plenty of friends and my classes weren’t hard at all. I would wake up in the mornings crying uncontrollably and having panic attacks. Then normally I would blacked out and wake up on the couch around 6 pm. My depression got worse after that and I stayed home for a couple months without seeing any of friends. What could have caused these fears or whatever it is that I had?",Distorted,Mind Reading
"I started self harming when I was 12. I punch myself in the leg as hard as I can. I will often be sore for days after. However, because I was born with cerebral palsy, I am not strong enough to leave bruises on myself. I recently began to scratch myself as another form of self harm. I will do this until I skin the area I’m scratching, however I am not able to make the area bleed. I have gotten mixed reviews about whether this counts as self harm. I often try to convince myself that because the punches won’t bruise, and because the scratches don’t bleed, it is not a serious issue. However, some of my closer friends have told me that is still should consider it more serious and that I need to stop before I go any further. What I’m wondering is, are behaviors intended to cause harm to oneself, but which do not cause visible tissue damage or bleeding, considered self harm?",Non-Distorted,No Distortion
"From the U.S.: Hello, my newlywed husband and I have had the fairy tale relationship- a kind I have dreamt about. Recently, his grandmother passed away after a lengthy fight against numerous medical conditions. He was extremely close to her. Originally, I believe he was shocked, and just cried into me. However, a week later, he became angry over the simplest things and threatened to leave me if I didn’t do XYZ (clean the house better, etc.). He had never said anything of the kind before. The next day he apologized and life was back to normal for a week. He said he loves me and can’t wait for our life together and is never going anywhere.",Non-Distorted,No Distortion
"Long Distance relationship. I went up to see him and he thought I had been cheating on him. Now, he doesn’t trust me. I have never cheated on him. I would never cheat on him or anyone. He was going through a low period in his life and didn’t think he was worthy of me. How do I gain his trust or convince him that it never happened? This is now my ex boyfriend, but the love of my life and his too, he says, but he can’t get past this. This trust issue happened 5 years. His ex wife cheated on him. This has ruined everything. The happiest times of our lives were with each other. Any suggestions?",Distorted,Emotional Reasoning
"I am very serious with my current boyfriend who is legally separated, but not officially divorced. We love each other very much and practically live together. His two children do not know about me yet (they are two girls, ages 7 and 13). When they come over to spend time with their dad, I have to pack up my clothes and split. I understand.",Distorted,Emotional Reasoning
"Until a few months back I used to play GTAV at my friend’s house without my parent’s permission, this went on for three years and then I told them. They didn’t get that mad but told me I couldn’t play it anymore. The problem is that now that I never play it anymore I feel a very strong need to play it and since no other game can replace it I feel unhappy and unfulfilled. When I actually write it out the first time it sounds really pathetic but it’s actually quite a big problem. I wasn’t very happy with my life before but video games was an easy way to cope with other things (when I say cope I don’t mean through extreme violence like in GTA’s case, more like a person who really likes soccer and uses that). The reason my parents won’t let me play it is because of the mature content but I’m not interested in the sex and drugs and the violence is unrealistic enough not to affect me at all. To be honest I don’t really feel anything special when for example killing people in video games. I’ve done a lot of research and I like to think that I know more than most people about psychology and I’m very sure that I’m not a psychopath nor narcissist. An example from the game is this one scene involving torture which I found pretty hard to get through. I’m also quite intelligent for my age and has scored 121 on an IQ test, I’ve also got really good grades and stuff so I think that that’s maybe why I’m not affected by violence I know is fake. I’ve also already done pretty much everything in the game and seen almost everything in it in movies and tv series, so I kinda feel like I’ve seen everything and that all potential damage is already done. My parents have also said that you shouldn’t take chances and that I may get affected even though I didn’t before. That may be but I’ve actually begun to feel really depressed and sad most of the time and I know that there’s no other way to fix it. I think that’s because it was one of the things I enjoyed doing the most and now I can’t anymore. I would be so thankful if you could help me. Thank you!!! (From Sweden)",Non-Distorted,No Distortion
"Recently I have been developing a friendship with my ex husband. It was a rocky marriage. Divorced 15 years ago. He has received counseling for being a peeping tom 17 years ago. Yes he peeped at my daughters. In case you need to know, he never touched them, he watched from afar. They are now in their 30’s. They hate him. He has mellowed and is regretful. He has said he is sorry to them twice and would get on his knees if he thought it would help. Two months ago we started ‘hanging out’, going places. I did not tell them because I was just seeing him and not asking them to engage in any form of relationship because I knew they would not want to. About two months ago they figured out that we had gone out of town for the night. They sent me terrible texts and threatened not to speak to me again if I didn’t not stop seeing him. I have continued to do things with him because we are so happy together. He seems to have truly changed. I understand that time will only tell. We are not getting married or even including them in the time we spend together. Neither of us remarried after we split up many years ago. We have both been very lonely, not the type to jump into relationships. So now I am torn up inside. I will be miserable if I cannot keep my friendship with him but my stomach stays in knots because I have now been excluded from my family. I am miserable without my family but would be without him as well.",Non-Distorted,No Distortion
"From a young teen in the U.S.: I as a child i was born into a christian family. As i got into 6th grade my friends and I started to read Percy Jackson and the Olympians and the heroes of Olympus, and after that i got really interested in the Greek gods and always had fun talking about them. so i discovered that other people believe in them to and i wasn’t alone and that made me happy. soon i found my self praying to those gods. i’d pray to Zeus to keep them safe if a family member went on a plane ride. i looked up a what it was called to believe in them, and now i’m a Hellenic.",Distorted,Magnification
"From a 14 year old girl in the U.S.: I’ve been distancing myself from everyone lately, I do it as some sort of defense mechanism I suppose. As a child my father abused me emotionally, lied compulsively and forced me to have trust issues. I’ve always felt alone in life, I’m an older child so my parents aren’t that attentive to me. When they are, I don’t like it. I feel like I shouldn’t have the attention.",Non-Distorted,No Distortion
"I have been with my boyfriend for ten months,during this time, about seven months into the relationship, i had my drink spiked and was sexually assaulted. It has been three months since, and i have been dealing with it better than him. The first few weeks i was a mess, but after going to the GUM clinic and being offered advice and counselling i felt much better and had a better understanding. The only issue i am facing at the moment, personally, is feeling incredibly anxious when i go out in the evening with my friends. I find it difficult to breathe, but i know this is because i associate nightclubs and drinking with what happened.",Distorted,Overgeneralization
"From the U.S.: My son’s wife I believe brainwashed him. We were a very close family up till the day after he married this Armenian woman. We, meaning the whole family, grandmother, sister, cousins, and aunt. We are a small family. We are not allowed to know where they live. He admits that his wife is mean to me in hopes I never will visit again. He has allowed this behavior from her which I do not understand.",Distorted,Overgeneralization
"Every couple of months or weeks…I seem to come up with a new scenario as to how I am dying. I always have this general feeling of malaise. I can’t remember the last time I was ever genuinely happy. I am always down. I have no desire to do anything. Well, recently my self-diagnosis is that something is wrong with my heart. It feels like I am constantly on the verge of a complete panic attack. I feel way overly aware of the organ inside my chest. I feel sick, I just feel it beating the wrong way all the time. I panic to the point where it palpitates and majorly picks up speed…and when it does that, I think about how that is also a sign of something being wrong with my heart. And I can’t decipher what is happening out of panic, or what could be me dying. My chest gets so tight and I’m always thinking about it. It’s always hard to breathe because I am trying so hard to stay calm. But heart problems can cause those exact symptoms as well. I get chest pains, over my entire chest. It feels like they happen mostly when I am breathing very hard. Every time I think about it anymore the worse the panic gets. I keep looking up all these symptoms trying to convince myself it’s all in my head but it’s so hard to tell when anxiety generates the same symptoms. I just had my first literal anxiety attack about it and this is where I need to draw the line. I had to lie on the floor and just breathe. My ears were ringing, my heart was beating so hard I could hear it over the ringing in my ears. I couldn’t really see, everything was echoing…and I was certain I was dying. Then suddenly I snapped back, I got up…took an anxiety pill and got on here to write. It was a lot easier to deal when I was convinced I had any other disease…but this one is so hard to set aside. There is ALWAYS the possibility that something is SERIOUSLY wrong too. And I am far too terrified to go see a doctor to find out if I am right. I’m just going insane. I don’t want to leave this earth just yet. But every day feels like my last because of this panic. I want out of my mind. What am I supposed to do?",Non-Distorted,No Distortion
"From Sarajevo: I believe i might have some problems, but before seeing a doctor i feel its easier to get some advice here. So, this has been going for a longer time, i can’t really say it is since childhood. It’s really bothering me right now because school is getting a lot harder and I feel like i can’t keep up.",Distorted,Emotional Reasoning
"From a teen in Egypt: I don’t know how to say this but I’ll try my best. Over the past few months abnormal thoughts have been taking over head. For example, when I fight with my mom there’s this voice in my head that keeps telling me that i should hit her and hurt her, and at times kill her. This is what made me realize that I should probably see a counselor.",Distorted,Fortune Telling
"From the U.S.: When I was 13 I began therapy and have been involved with the mental health system ever since. It started with therapy for self harm and depression as a young teenager and after a year my therapist “let me go” on the pretense that I shouldn’t “use therapy as a crutch.” Then I was reintroduced to therapy after a suicide attempt at age 17 and finally diagnosed with major depressive disorder, OCD, and PTSD. I was given medication as well.",Distorted,Magnification
"My 22 year old male cousin will not leave his mother’s side. She will not make him get a job or even a GED. She makes his bed, prepares his food and washing his clothes. He is plenty capable of doing all these things.",Non-Distorted,No Distortion
"I have bipolar disorder, and I am a survivor of emotional abuse. I am finding that in recent years, it has become a trend for my coworkers to begin hating me to a point where it gets me fired. I try to be positive at work, I ask how my coworkers are doing, try to be personable and I make sure to say please and thank you if I ask for assistance in my tasks. Common problems I have found are if a coworker is disrespectful or offensive, I address it as soon as I can and not in front of others so they don’t have to suffer public shaming. Often my coworkers will try to treat me like a doormat by having me do the majority of the work while they do almost nothing at all. If I say something, they’ll hate me. If I don’t say anything I continue to be a doormat. I’m starting to feel like I’ve missed learning some all important social skill that enables people to like me and treat me respectfully. I know it’s very difficult to begin to gauge the problem from a brief paragraph on the internet, but if you have any advice, I would love to hear it. Thank you!",Non-Distorted,No Distortion
"From the U.S.:  My bf and I have been together about 8 months. The last half of this was sprinkled with traumatic events because of my past traumas. I was emotionally abusive at times, reacted with anger/insults out of jealousy/insecurity. He wants to leave but I don’t want to split, I am promising him I will change because I know I have/will (I am finally in counseling) I love him endlessly although some of my actions have not shown that.",Non-Distorted,No Distortion
"Ever since I remember I was trying to do too many things. Besides my job I always have a number of “hobbies” or “passions” that make it really hard to concentrate on one main thing or even to choose what that main thing should be. For example, lately I have become obsessed with making electronic music. So while being at work I am secretly spending nearly all my day reading and watching videos about the equipment and techniques. Note, that I mostly do not actually make music, but rather “prepare”, “research” or “study”. I consistently miss deadlines at work, but just can’t keep my mind on the job.",Distorted,Overgeneralization
From a teen in the U.S.: Over the last two years I’ve lost emotion and I live in a fog. When I think about what’s wrong with me I can’t think at all. Typing this out in struggling because I can’t even function. I can’t get it right.,Distorted,All-or-Nothing
"From Canada: My husband lied to me years ago and I just found out I have been married for about 4 years but together for 14. As I was browsing on our desktop computer looking for some old photos over the weekend I discovered photos from a work trip my husband went on about 8 years ago. These photos contained him and another women (selfies, dinner together and shopping). I was and am completely furious. I recall right after that trip as I saw some other photos of him with the exotic car he had rented and asked who took the pictures. He told me at that time he got people off the street to take the photos and I naively believed him.",Non-Distorted,No Distortion
"hey, im 19 and i was recently dating a guy on and off since the 8th grade. So he’s obviously been a big part of my life. We had been going steady for 2 years but had never met each other’s parents because of interracial issues. My parents had made it clear from the start that they weren’t going to accept it and he knew his mom would have the same reaction. However, my parents had come around but my boyfriend still knew how much they hated him. He was still afraid of meeting them and well he didn’t want to try introducing me to his mom because I was white. My parents had called him and forced him to leave me and he chose to agree because he didn’t have much of a choice.",Non-Distorted,No Distortion
"I am 14 and have severe depression. I know for a fact i need mental help. But i cant tell my parents about it.. and im too scared to talk to the school councilor about anything because she will just call my parents… I have major family issues and i dont know how to handle them. I started cutting on monday to relive stress I honestly dont know what else to do.. Im in major physical pain ALL the time, my back hurts so much some times I cant move. My arms and shoulders ache all the time I just want to cry im in so much pain. I get migraines almost everyday and always have a feeling of throwing up even tho I never do. My depression is getting so bad my grades are dropping and im getting in trouble with my parents but they dont know the reason my grades are droping is because i cant consintrate in class anymore im too depressed to even try in school now. I take an animation class and drawing used to help with my depression but its gotten so bad i cant pick up my pencil to draw, im not motivated anymore.. I want to cry ALL the time i broke down in school yesterday and just started crying… I need help I dont know what to do!!!!",Distorted,Personalization
"My friend is sad a lot because she is alone and doesn’t have a boyfriend. She always belittles herself and says she isn’t good enough. At first, I told her to be patient and focus on bettering herself and she would find someone soon. I now see that she is looking for someone else to be her main source of happiness. After pointing out to her what she was doing, I then told her that she can’t love anyone else until she learns to love herself. To which she responded, “I can’t love myself. I don’t know how to.” How can I help her?",Non-Distorted,No Distortion
"Raised by my mother, so she was obviously always working trying to support us. There are only a few memories I have of her and none of them are pleasant. She was mean, verbally abusive and on occasion physically abusive. She always had a boyfriend around, some were abusive as well. I was exposed to a lot of sexual activity through them or on television, I was molested by her bfs daughter (I was 7 she was 13). I was constantly alone. I always watched them fight and yell. I never felt loved by her. We never hug, kiss or say I love you. I hated her for years, and now I’m just indifferent. It makes me squirm to think about her, or to get to know her, to hear about other really good mom and daughter relationships. The thought of hugging her gives me anxiety. I don’t like the sound of her voice and now when she says I love you, I hate it. I can barely stand to be around her for only a little while.",Distorted,Overgeneralization
"From a young woman in the U.S.: Since around the age of 10 years old to now, it feels as if my anxiety has been a building pressure in my mind. At first in the very back of my thoughts, and now seeping into every second of my life. Conscious or not.",Distorted,Mind Reading
"I rarely sleep for anything more than 3 hours every few days and when I finally do, I don’t even feel like I’m sleeping. I feel like I’m just laying there wide awake, watching the minutes tick by til I wake. I’ve been trying to get more sleep out nothing eotks. At times I will twitch violently and spasm. If left alone for too long I begin hearing a voice, muffled but still clear to tell me things. It says I’m pointless and other grand horrors. When I went so far as to not sleep for a week I passed out for a solid 10 minutes and woke up screaming and jumping away. I though a felt someone cutting my rub cave open and removing my heart with their frigid hands. I’ve been impartial to the visual aspect of this, but I see blood and bodies in flashes… I once opened the door and saw human heads bleeding and laying on my floor screaming in agony. I have had countless times where I fell to my knees in fright because on the sidewalk was a group of children’s bodies stacked and covered in blood.. I haven’t slept fully in almost 7 years now. I’ve had points where I though I was being chased up the stairs and I threw a book shelf down them. I keep seeing death when I blink and I don’t know how much longer I can take… Should I check into a mental hospital?",Non-Distorted,No Distortion
"I am 14 and I KNOW I’m sick. Its been 4 months since I started passing out. People say its just day dreaming but its not. While I am unconscious, I still communicate with people. Its not like DID. Its like automated message. It feels very bad and at those times I want to end myself. I was waking up in shock, seeing things such as spiders, snakes. Then It happens when I was fully awake. I cannot control my thinking. I sometimes think about disgusting, bad or weird things even if I don’t want to. I feel like a failure. I am in my head more than out. My inner and outer world have collided. What should I do?",Non-Distorted,No Distortion
From the UK: After seeing a girl for 5 months we have recently decided to become ‘exclusive’ and put the boyfriend/girlfriend label on our relationship.,Non-Distorted,No Distortion
"I’m 21 and I didn’t have an easy life. My dad has always demanded so much of me that it ended up draining me and sending down a spiral of depression, OCD, eating disorders and suicidal thoughts. My dad’s constant pressure has never allowed me to grow as a person and know what I want for myself in life or what I believe in. For example, ever since I was 5 my dad was programming me to get my phd. He trained me to be an excellent and perfect student to the point that when I was 5 and I had bad handwriting, he would spend 6 hours staring into my eyes and asking me if I was aware that my handwriting was chicken scratch. These episodes used to cause me to dissociate and stare at something nearby until my dad would finish yelling at me. Furthermore, I have always been a religious person inside but my dad is an atheist and when I was very young he would yell at me for praying or doing anything religious until in college I became an atheist too. My dad is a sex addict and I once walked in on him kissing my aunt. I always used to find his sperm all over his laptop and have to clean it up so my mom wouldn’t see. I had to endure him masturbating for hours and talking to underage girls on the internet and not tell anyone. At some points in my life I even suspected that he sexually abused me and my sister. I am constantly dissociated from my body and I am hypersensitive. I am so sensitive that I can feel other people’s emotions. I always had nightmares and at age 10 I wanted to die. Well, I am 21 now and I am almost finishing college. I am starting my masters program a year from now and after much thinking I decided that I dont want a phd but rather I met a lovely man who I plan to marry. With him, I can be who I really am without the pressure of my dad. I find myself able to grow and find the parts of me that my dad’s unrealistic expectations killed. In my mind when I am alone, I imagine me being married to this man and I know it is what I want. I want to work and also have a family with him. We can do that together. He is getting an mba, so on top of being a great and respectful young man, he is financially stable. He is the one thing in my life that I have control over and that my parents had no say in. When they found out that I was going to marry him after I finish my masters degree, my dad wen insane. He threatened to kill himself, to cut off all my financial support, to stop paying for my education and so much more blackmail. He guilts me by constantly reminding me of how hard he works to pay for my education. My dad doesn’t want me to marry my boyfriend because he says that he looks ugly and because his family is not well known. He says that this man is not who he imagined his daughter marrying. He says that all the money he spent on me is going to waste if I marry him. He even once started throwing my clothes in a bag and threatened to send me away if I dont leave him. I am so confused. I love my dad but I am scared and confused. What if my dad is right? But at the same time my dad is acting so irrational. What should I do? Please someone help me because I am thinking of killing myself.",Distorted,Personalization
"I’ve thought about killing. I’ve always wanted to beat some one until they were black and blue and bloody. I’ve wanted to taste blood from people. Ive never felt anything towards anyone except my dog. I’ve wanted to kill everyone but I’ve never done it. I mean it’s like I have a flip and I just thinking about psychotic things. I’ve thought if I was a psychopath or a sociopath. I mean I don’t care for people dying period. I’ve always wanted blood to be all over my body. Ive once sat in my bed laughing at the thought of beating someone up or killing. I’ve been wanting to destroy my room or destroy everything. I mean I just want to do everything destructive. I have depression, add, adhd, and bipolar. I have a short temper too. I’ve just wanted to kill and kill every day. I love hurting myself and blood rushing out. I laugh at the pain. I couldn’t tell my mom about this because obviously she would send me somewhere and I probably kill her if she did. I don’t know what to do right now honestly. My friends think I’m heartless. Anyways yea",Non-Distorted,No Distortion
My 6-year-old son has always been an exhibitionist and always the child who pulls his pants down or touches himself to get a laugh or reaction. All my kids went through this short phase but for him it has seemed to linger longer than i am comfortable with.,Non-Distorted,No Distortion
"Part of me wants to get help because I’m getting really tired of the instability of my emotions and how they are affecting my decisions in day to day life, but the other part of me tells me I’m just overreacting or making it all up. I worry if I reach out to someone they will reject me and tell me nothing is wrong. As a result, I feel a lot of shame and guilt for thinking there is a reason behind my instability, like a disorder or something medical, when it’s probably just my own fault. And even if I did bring myself to get help I am absolutely petrified of being outed to my parents, family and friends. But there is no way to prevent that from happening because I’m only 18 and am still covered under my mom’s insurance. If I went to talk to someone she would get billed or have a record on her insurance about it! And besides, I don’t have the funds to get help. What am I supposed to do in this situation? Telling someone in my life the truth isn’t an option for me.",Non-Distorted,No Distortion
